material,content,radius,soil_eps,soil_sig,x,y,folder,target_type,soil_class,burial_depth,depth_class,radius_class,target_difficulty,group_id,stratum,is_hard,image_path,condition_path,split
pvc,free_space,0.03,20,0.02,1.97,0.77,pvc_free_space_r0.03_eps20_sig0.02_x1.97_y0.77,pvc_free_space,S_eps20_sig0.02,0.22999999999999998,D1_shallow,R1_small,hard_weak_pvc,pvc_free_space_r0.03_eps20_sig0.02_y0.77,pvc_free_space|S_eps20_sig0.02|R1_small|D1_shallow,True,dataset_split/images/val/pvc_free_space_r0.03_eps20_sig0.02_x1.97_y0.77.png,dataset_split/conditions/val/pvc_free_space_r0.03_eps20_sig0.02_x1.97_y0.77.in,val
steel,free_space,0.05,5,0.05,2.99,0.59,steel_free_space_r0.05_eps5_sig0.05_x2.99_y0.59,steel_free_space,S_eps5_sig0.05,0.41000000000000003,D2_medium,R2_medium_small,easy_strong_reflection,steel_free_space_r0.05_eps5_sig0.05_y0.59,steel_free_space|S_eps5_sig0.05|R2_medium_small|D2_medium,True,dataset_split/images/stress_test/steel_free_space_r0.05_eps5_sig0.05_x2.99_y0.59.png,dataset_split/conditions/stress_test/steel_free_space_r0.05_eps5_sig0.05_x2.99_y0.59.in,stress_test
pvc,water,0.1,4,0.001,1.75,0.65,pvc_water_r0.1_eps4_sig0.001_x1.75_y0.65,pvc_water,S_eps4_sig0.001,0.35,D2_medium,R4_large,medium_water_filled_pvc,pvc_water_r0.1_eps4_sig0.001_y0.65,pvc_water|S_eps4_sig0.001|R4_large|D2_medium,False,dataset_split/images/train/pvc_water_r0.1_eps4_sig0.001_x1.75_y0.65.png,dataset_split/conditions/train/pvc_water_r0.1_eps4_sig0.001_x1.75_y0.65.in,train
pvc,free_space,0.03,10,0.005,1.27,0.4,pvc_free_space_r0.03_eps10_sig0.005_x1.27_y0.4,pvc_free_space,S_eps10_sig0.005,0.6,D3_deep,R1_small,hard_weak_pvc,pvc_free_space_r0.03_eps10_sig0.005_y0.4,pvc_free_space|S_eps10_sig0.005|R1_small|D3_deep,True,dataset_split/images/train/pvc_free_space_r0.03_eps10_sig0.005_x1.27_y0.4.png,dataset_split/conditions/train/pvc_free_space_r0.03_eps10_sig0.005_x1.27_y0.4.in,train
pvc,free_space,0.1,20,0.02,2.95,0.7,pvc_free_space_r0.1_eps20_sig0.02_x2.95_y0.7,pvc_free_space,S_eps20_sig0.02,0.30000000000000004,D2_medium,R4_large,hard_weak_pvc,pvc_free_space_r0.1_eps20_sig0.02_y0.7,pvc_free_space|S_eps20_sig0.02|R4_large|D2_medium,True,dataset_split/images/val/pvc_free_space_r0.1_eps20_sig0.02_x2.95_y0.7.png,dataset_split/conditions/val/pvc_free_space_r0.1_eps20_sig0.02_x2.95_y0.7.in,val
steel,free_space,0.05,20,0.02,2.45,0.31,steel_free_space_r0.05_eps20_sig0.02_x2.45_y0.31,steel_free_space,S_eps20_sig0.02,0.69,D3_deep,R2_medium_small,easy_strong_reflection,steel_free_space_r0.05_eps20_sig0.02_y0.31,steel_free_space|S_eps20_sig0.02|R2_medium_small|D3_deep,True,dataset_split/images/test_id/steel_free_space_r0.05_eps20_sig0.02_x2.45_y0.31.png,dataset_split/conditions/test_id/steel_free_space_r0.05_eps20_sig0.02_x2.45_y0.31.in,test_id
steel,free_space,0.1,5,0.05,2.42,0.69,steel_free_space_r0.1_eps5_sig0.05_x2.42_y0.69,steel_free_space,S_eps5_sig0.05,0.31000000000000005,D2_medium,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps5_sig0.05_y0.69,steel_free_space|S_eps5_sig0.05|R4_large|D2_medium,True,dataset_split/images/stress_test/steel_free_space_r0.1_eps5_sig0.05_x2.42_y0.69.png,dataset_split/conditions/stress_test/steel_free_space_r0.1_eps5_sig0.05_x2.42_y0.69.in,stress_test
steel,free_space,0.08,4,0.001,2.13,0.37,steel_free_space_r0.08_eps4_sig0.001_x2.13_y0.37,steel_free_space,S_eps4_sig0.001,0.63,D3_deep,R3_medium_large,easy_strong_reflection,steel_free_space_r0.08_eps4_sig0.001_y0.37,steel_free_space|S_eps4_sig0.001|R3_medium_large|D3_deep,True,dataset_split/images/train/steel_free_space_r0.08_eps4_sig0.001_x2.13_y0.37.png,dataset_split/conditions/train/steel_free_space_r0.08_eps4_sig0.001_x2.13_y0.37.in,train
pvc,free_space,0.08,10,0.005,2.81,0.4,pvc_free_space_r0.08_eps10_sig0.005_x2.81_y0.4,pvc_free_space,S_eps10_sig0.005,0.6,D3_deep,R3_medium_large,hard_weak_pvc,pvc_free_space_r0.08_eps10_sig0.005_y0.4,pvc_free_space|S_eps10_sig0.005|R3_medium_large|D3_deep,True,dataset_split/images/val/pvc_free_space_r0.08_eps10_sig0.005_x2.81_y0.4.png,dataset_split/conditions/val/pvc_free_space_r0.08_eps10_sig0.005_x2.81_y0.4.in,val
steel,free_space,0.08,10,0.005,2.44,0.34,steel_free_space_r0.08_eps10_sig0.005_x2.44_y0.34,steel_free_space,S_eps10_sig0.005,0.6599999999999999,D3_deep,R3_medium_large,easy_strong_reflection,steel_free_space_r0.08_eps10_sig0.005_y0.34,steel_free_space|S_eps10_sig0.005|R3_medium_large|D3_deep,True,dataset_split/images/train/steel_free_space_r0.08_eps10_sig0.005_x2.44_y0.34.png,dataset_split/conditions/train/steel_free_space_r0.08_eps10_sig0.005_x2.44_y0.34.in,train
pvc,water,0.1,20,0.02,1.08,0.27,pvc_water_r0.1_eps20_sig0.02_x1.08_y0.27,pvc_water,S_eps20_sig0.02,0.73,D3_deep,R4_large,medium_water_filled_pvc,pvc_water_r0.1_eps20_sig0.02_y0.27,pvc_water|S_eps20_sig0.02|R4_large|D3_deep,True,dataset_split/images/train/pvc_water_r0.1_eps20_sig0.02_x1.08_y0.27.png,dataset_split/conditions/train/pvc_water_r0.1_eps20_sig0.02_x1.08_y0.27.in,train
steel,free_space,0.1,4,0.001,2.42,0.58,steel_free_space_r0.1_eps4_sig0.001_x2.42_y0.58,steel_free_space,S_eps4_sig0.001,0.42000000000000004,D2_medium,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps4_sig0.001_y0.58,steel_free_space|S_eps4_sig0.001|R4_large|D2_medium,False,dataset_split/images/train/steel_free_space_r0.1_eps4_sig0.001_x2.42_y0.58.png,dataset_split/conditions/train/steel_free_space_r0.1_eps4_sig0.001_x2.42_y0.58.in,train
pvc,water,0.05,4,0.001,1.37,0.54,pvc_water_r0.05_eps4_sig0.001_x1.37_y0.54,pvc_water,S_eps4_sig0.001,0.45999999999999996,D2_medium,R2_medium_small,medium_water_filled_pvc,pvc_water_r0.05_eps4_sig0.001_y0.54,pvc_water|S_eps4_sig0.001|R2_medium_small|D2_medium,False,dataset_split/images/train/pvc_water_r0.05_eps4_sig0.001_x1.37_y0.54.png,dataset_split/conditions/train/pvc_water_r0.05_eps4_sig0.001_x1.37_y0.54.in,train
steel,free_space,0.08,4,0.001,2.04,0.72,steel_free_space_r0.08_eps4_sig0.001_x2.04_y0.72,steel_free_space,S_eps4_sig0.001,0.28,D1_shallow,R3_medium_large,easy_strong_reflection,steel_free_space_r0.08_eps4_sig0.001_y0.72,steel_free_space|S_eps4_sig0.001|R3_medium_large|D1_shallow,False,dataset_split/images/val/steel_free_space_r0.08_eps4_sig0.001_x2.04_y0.72.png,dataset_split/conditions/val/steel_free_space_r0.08_eps4_sig0.001_x2.04_y0.72.in,val
steel,free_space,0.08,5,0.05,1.98,0.47,steel_free_space_r0.08_eps5_sig0.05_x1.98_y0.47,steel_free_space,S_eps5_sig0.05,0.53,D2_medium,R3_medium_large,easy_strong_reflection,steel_free_space_r0.08_eps5_sig0.05_y0.47,steel_free_space|S_eps5_sig0.05|R3_medium_large|D2_medium,True,dataset_split/images/stress_test/steel_free_space_r0.08_eps5_sig0.05_x1.98_y0.47.png,dataset_split/conditions/stress_test/steel_free_space_r0.08_eps5_sig0.05_x1.98_y0.47.in,stress_test
pvc,free_space,0.08,4,0.001,1.29,0.43,pvc_free_space_r0.08_eps4_sig0.001_x1.29_y0.43,pvc_free_space,S_eps4_sig0.001,0.5700000000000001,D3_deep,R3_medium_large,hard_weak_pvc,pvc_free_space_r0.08_eps4_sig0.001_y0.43,pvc_free_space|S_eps4_sig0.001|R3_medium_large|D3_deep,True,dataset_split/images/train/pvc_free_space_r0.08_eps4_sig0.001_x1.29_y0.43.png,dataset_split/conditions/train/pvc_free_space_r0.08_eps4_sig0.001_x1.29_y0.43.in,train
pvc,free_space,0.03,10,0.005,2.68,0.57,pvc_free_space_r0.03_eps10_sig0.005_x2.68_y0.57,pvc_free_space,S_eps10_sig0.005,0.43000000000000005,D2_medium,R1_small,hard_weak_pvc,pvc_free_space_r0.03_eps10_sig0.005_y0.57,pvc_free_space|S_eps10_sig0.005|R1_small|D2_medium,True,dataset_split/images/train/pvc_free_space_r0.03_eps10_sig0.005_x2.68_y0.57.png,dataset_split/conditions/train/pvc_free_space_r0.03_eps10_sig0.005_x2.68_y0.57.in,train
pvc,water,0.03,20,0.02,1.8,0.7,pvc_water_r0.03_eps20_sig0.02_x1.8_y0.7,pvc_water,S_eps20_sig0.02,0.30000000000000004,D2_medium,R1_small,medium_water_filled_pvc,pvc_water_r0.03_eps20_sig0.02_y0.7,pvc_water|S_eps20_sig0.02|R1_small|D2_medium,True,dataset_split/images/train/pvc_water_r0.03_eps20_sig0.02_x1.8_y0.7.png,dataset_split/conditions/train/pvc_water_r0.03_eps20_sig0.02_x1.8_y0.7.in,train
steel,free_space,0.1,20,0.02,2.28,0.71,steel_free_space_r0.1_eps20_sig0.02_x2.28_y0.71,steel_free_space,S_eps20_sig0.02,0.29000000000000004,D1_shallow,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps20_sig0.02_y0.71,steel_free_space|S_eps20_sig0.02|R4_large|D1_shallow,True,dataset_split/images/train/steel_free_space_r0.1_eps20_sig0.02_x2.28_y0.71.png,dataset_split/conditions/train/steel_free_space_r0.1_eps20_sig0.02_x2.28_y0.71.in,train
steel,free_space,0.08,10,0.005,2.97,0.28,steel_free_space_r0.08_eps10_sig0.005_x2.97_y0.28,steel_free_space,S_eps10_sig0.005,0.72,D3_deep,R3_medium_large,easy_strong_reflection,steel_free_space_r0.08_eps10_sig0.005_y0.28,steel_free_space|S_eps10_sig0.005|R3_medium_large|D3_deep,True,dataset_split/images/train/steel_free_space_r0.08_eps10_sig0.005_x2.97_y0.28.png,dataset_split/conditions/train/steel_free_space_r0.08_eps10_sig0.005_x2.97_y0.28.in,train
pvc,water,0.03,5,0.05,1.94,0.6,pvc_water_r0.03_eps5_sig0.05_x1.94_y0.6,pvc_water,S_eps5_sig0.05,0.4,D2_medium,R1_small,medium_water_filled_pvc,pvc_water_r0.03_eps5_sig0.05_y0.6,pvc_water|S_eps5_sig0.05|R1_small|D2_medium,True,dataset_split/images/stress_test/pvc_water_r0.03_eps5_sig0.05_x1.94_y0.6.png,dataset_split/conditions/stress_test/pvc_water_r0.03_eps5_sig0.05_x1.94_y0.6.in,stress_test
steel,free_space,0.08,20,0.02,2.74,0.4,steel_free_space_r0.08_eps20_sig0.02_x2.74_y0.4,steel_free_space,S_eps20_sig0.02,0.6,D3_deep,R3_medium_large,easy_strong_reflection,steel_free_space_r0.08_eps20_sig0.02_y0.4,steel_free_space|S_eps20_sig0.02|R3_medium_large|D3_deep,True,dataset_split/images/train/steel_free_space_r0.08_eps20_sig0.02_x2.74_y0.4.png,dataset_split/conditions/train/steel_free_space_r0.08_eps20_sig0.02_x2.74_y0.4.in,train
steel,free_space,0.1,4,0.001,1.43,0.45,steel_free_space_r0.1_eps4_sig0.001_x1.43_y0.45,steel_free_space,S_eps4_sig0.001,0.55,D2_medium,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps4_sig0.001_y0.45,steel_free_space|S_eps4_sig0.001|R4_large|D2_medium,False,dataset_split/images/train/steel_free_space_r0.1_eps4_sig0.001_x1.43_y0.45.png,dataset_split/conditions/train/steel_free_space_r0.1_eps4_sig0.001_x1.43_y0.45.in,train
steel,free_space,0.05,5,0.05,1.24,0.33,steel_free_space_r0.05_eps5_sig0.05_x1.24_y0.33,steel_free_space,S_eps5_sig0.05,0.6699999999999999,D3_deep,R2_medium_small,easy_strong_reflection,steel_free_space_r0.05_eps5_sig0.05_y0.33,steel_free_space|S_eps5_sig0.05|R2_medium_small|D3_deep,True,dataset_split/images/stress_test/steel_free_space_r0.05_eps5_sig0.05_x1.24_y0.33.png,dataset_split/conditions/stress_test/steel_free_space_r0.05_eps5_sig0.05_x1.24_y0.33.in,stress_test
