material,content,radius,soil_eps,soil_sig,x,y,folder,target_type,soil_class,burial_depth,depth_class,radius_class,target_difficulty,group_id,stratum,is_hard,image_path,condition_path,split
pvc,water,0.1,4,0.001,1.75,0.65,pvc_water_r0.1_eps4_sig0.001_x1.75_y0.65,pvc_water,S_eps4_sig0.001,0.35,D2_medium,R4_large,medium_water_filled_pvc,pvc_water_r0.1_eps4_sig0.001_y0.65,pvc_water|S_eps4_sig0.001|R4_large|D2_medium,False,dataset_split/images/train/pvc_water_r0.1_eps4_sig0.001_x1.75_y0.65.png,dataset_split/conditions/train/pvc_water_r0.1_eps4_sig0.001_x1.75_y0.65.in,train
pvc,free_space,0.03,10,0.005,1.27,0.4,pvc_free_space_r0.03_eps10_sig0.005_x1.27_y0.4,pvc_free_space,S_eps10_sig0.005,0.6,D3_deep,R1_small,hard_weak_pvc,pvc_free_space_r0.03_eps10_sig0.005_y0.4,pvc_free_space|S_eps10_sig0.005|R1_small|D3_deep,True,dataset_split/images/train/pvc_free_space_r0.03_eps10_sig0.005_x1.27_y0.4.png,dataset_split/conditions/train/pvc_free_space_r0.03_eps10_sig0.005_x1.27_y0.4.in,train
steel,free_space,0.08,4,0.001,2.13,0.37,steel_free_space_r0.08_eps4_sig0.001_x2.13_y0.37,steel_free_space,S_eps4_sig0.001,0.63,D3_deep,R3_medium_large,easy_strong_reflection,steel_free_space_r0.08_eps4_sig0.001_y0.37,steel_free_space|S_eps4_sig0.001|R3_medium_large|D3_deep,True,dataset_split/images/train/steel_free_space_r0.08_eps4_sig0.001_x2.13_y0.37.png,dataset_split/conditions/train/steel_free_space_r0.08_eps4_sig0.001_x2.13_y0.37.in,train
steel,free_space,0.08,10,0.005,2.44,0.34,steel_free_space_r0.08_eps10_sig0.005_x2.44_y0.34,steel_free_space,S_eps10_sig0.005,0.6599999999999999,D3_deep,R3_medium_large,easy_strong_reflection,steel_free_space_r0.08_eps10_sig0.005_y0.34,steel_free_space|S_eps10_sig0.005|R3_medium_large|D3_deep,True,dataset_split/images/train/steel_free_space_r0.08_eps10_sig0.005_x2.44_y0.34.png,dataset_split/conditions/train/steel_free_space_r0.08_eps10_sig0.005_x2.44_y0.34.in,train
pvc,water,0.1,20,0.02,1.08,0.27,pvc_water_r0.1_eps20_sig0.02_x1.08_y0.27,pvc_water,S_eps20_sig0.02,0.73,D3_deep,R4_large,medium_water_filled_pvc,pvc_water_r0.1_eps20_sig0.02_y0.27,pvc_water|S_eps20_sig0.02|R4_large|D3_deep,True,dataset_split/images/train/pvc_water_r0.1_eps20_sig0.02_x1.08_y0.27.png,dataset_split/conditions/train/pvc_water_r0.1_eps20_sig0.02_x1.08_y0.27.in,train
steel,free_space,0.1,4,0.001,2.42,0.58,steel_free_space_r0.1_eps4_sig0.001_x2.42_y0.58,steel_free_space,S_eps4_sig0.001,0.42000000000000004,D2_medium,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps4_sig0.001_y0.58,steel_free_space|S_eps4_sig0.001|R4_large|D2_medium,False,dataset_split/images/train/steel_free_space_r0.1_eps4_sig0.001_x2.42_y0.58.png,dataset_split/conditions/train/steel_free_space_r0.1_eps4_sig0.001_x2.42_y0.58.in,train
pvc,water,0.05,4,0.001,1.37,0.54,pvc_water_r0.05_eps4_sig0.001_x1.37_y0.54,pvc_water,S_eps4_sig0.001,0.45999999999999996,D2_medium,R2_medium_small,medium_water_filled_pvc,pvc_water_r0.05_eps4_sig0.001_y0.54,pvc_water|S_eps4_sig0.001|R2_medium_small|D2_medium,False,dataset_split/images/train/pvc_water_r0.05_eps4_sig0.001_x1.37_y0.54.png,dataset_split/conditions/train/pvc_water_r0.05_eps4_sig0.001_x1.37_y0.54.in,train
pvc,free_space,0.08,4,0.001,1.29,0.43,pvc_free_space_r0.08_eps4_sig0.001_x1.29_y0.43,pvc_free_space,S_eps4_sig0.001,0.5700000000000001,D3_deep,R3_medium_large,hard_weak_pvc,pvc_free_space_r0.08_eps4_sig0.001_y0.43,pvc_free_space|S_eps4_sig0.001|R3_medium_large|D3_deep,True,dataset_split/images/train/pvc_free_space_r0.08_eps4_sig0.001_x1.29_y0.43.png,dataset_split/conditions/train/pvc_free_space_r0.08_eps4_sig0.001_x1.29_y0.43.in,train
pvc,free_space,0.03,10,0.005,2.68,0.57,pvc_free_space_r0.03_eps10_sig0.005_x2.68_y0.57,pvc_free_space,S_eps10_sig0.005,0.43000000000000005,D2_medium,R1_small,hard_weak_pvc,pvc_free_space_r0.03_eps10_sig0.005_y0.57,pvc_free_space|S_eps10_sig0.005|R1_small|D2_medium,True,dataset_split/images/train/pvc_free_space_r0.03_eps10_sig0.005_x2.68_y0.57.png,dataset_split/conditions/train/pvc_free_space_r0.03_eps10_sig0.005_x2.68_y0.57.in,train
pvc,water,0.03,20,0.02,1.8,0.7,pvc_water_r0.03_eps20_sig0.02_x1.8_y0.7,pvc_water,S_eps20_sig0.02,0.30000000000000004,D2_medium,R1_small,medium_water_filled_pvc,pvc_water_r0.03_eps20_sig0.02_y0.7,pvc_water|S_eps20_sig0.02|R1_small|D2_medium,True,dataset_split/images/train/pvc_water_r0.03_eps20_sig0.02_x1.8_y0.7.png,dataset_split/conditions/train/pvc_water_r0.03_eps20_sig0.02_x1.8_y0.7.in,train
steel,free_space,0.1,20,0.02,2.28,0.71,steel_free_space_r0.1_eps20_sig0.02_x2.28_y0.71,steel_free_space,S_eps20_sig0.02,0.29000000000000004,D1_shallow,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps20_sig0.02_y0.71,steel_free_space|S_eps20_sig0.02|R4_large|D1_shallow,True,dataset_split/images/train/steel_free_space_r0.1_eps20_sig0.02_x2.28_y0.71.png,dataset_split/conditions/train/steel_free_space_r0.1_eps20_sig0.02_x2.28_y0.71.in,train
steel,free_space,0.08,10,0.005,2.97,0.28,steel_free_space_r0.08_eps10_sig0.005_x2.97_y0.28,steel_free_space,S_eps10_sig0.005,0.72,D3_deep,R3_medium_large,easy_strong_reflection,steel_free_space_r0.08_eps10_sig0.005_y0.28,steel_free_space|S_eps10_sig0.005|R3_medium_large|D3_deep,True,dataset_split/images/train/steel_free_space_r0.08_eps10_sig0.005_x2.97_y0.28.png,dataset_split/conditions/train/steel_free_space_r0.08_eps10_sig0.005_x2.97_y0.28.in,train
steel,free_space,0.08,20,0.02,2.74,0.4,steel_free_space_r0.08_eps20_sig0.02_x2.74_y0.4,steel_free_space,S_eps20_sig0.02,0.6,D3_deep,R3_medium_large,easy_strong_reflection,steel_free_space_r0.08_eps20_sig0.02_y0.4,steel_free_space|S_eps20_sig0.02|R3_medium_large|D3_deep,True,dataset_split/images/train/steel_free_space_r0.08_eps20_sig0.02_x2.74_y0.4.png,dataset_split/conditions/train/steel_free_space_r0.08_eps20_sig0.02_x2.74_y0.4.in,train
steel,free_space,0.1,4,0.001,1.43,0.45,steel_free_space_r0.1_eps4_sig0.001_x1.43_y0.45,steel_free_space,S_eps4_sig0.001,0.55,D2_medium,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps4_sig0.001_y0.45,steel_free_space|S_eps4_sig0.001|R4_large|D2_medium,False,dataset_split/images/train/steel_free_space_r0.1_eps4_sig0.001_x1.43_y0.45.png,dataset_split/conditions/train/steel_free_space_r0.1_eps4_sig0.001_x1.43_y0.45.in,train
steel,free_space,0.03,10,0.005,1.97,0.75,steel_free_space_r0.03_eps10_sig0.005_x1.97_y0.75,steel_free_space,S_eps10_sig0.005,0.25,D1_shallow,R1_small,easy_strong_reflection,steel_free_space_r0.03_eps10_sig0.005_y0.75,steel_free_space|S_eps10_sig0.005|R1_small|D1_shallow,True,dataset_split/images/train/steel_free_space_r0.03_eps10_sig0.005_x1.97_y0.75.png,dataset_split/conditions/train/steel_free_space_r0.03_eps10_sig0.005_x1.97_y0.75.in,train
pvc,water,0.05,20,0.02,2.4,0.59,pvc_water_r0.05_eps20_sig0.02_x2.4_y0.59,pvc_water,S_eps20_sig0.02,0.41000000000000003,D2_medium,R2_medium_small,medium_water_filled_pvc,pvc_water_r0.05_eps20_sig0.02_y0.59,pvc_water|S_eps20_sig0.02|R2_medium_small|D2_medium,True,dataset_split/images/train/pvc_water_r0.05_eps20_sig0.02_x2.4_y0.59.png,dataset_split/conditions/train/pvc_water_r0.05_eps20_sig0.02_x2.4_y0.59.in,train
pvc,free_space,0.03,20,0.02,2.04,0.6,pvc_free_space_r0.03_eps20_sig0.02_x2.04_y0.6,pvc_free_space,S_eps20_sig0.02,0.4,D2_medium,R1_small,hard_weak_pvc,pvc_free_space_r0.03_eps20_sig0.02_y0.6,pvc_free_space|S_eps20_sig0.02|R1_small|D2_medium,True,dataset_split/images/train/pvc_free_space_r0.03_eps20_sig0.02_x2.04_y0.6.png,dataset_split/conditions/train/pvc_free_space_r0.03_eps20_sig0.02_x2.04_y0.6.in,train
steel,free_space,0.08,4,0.001,1.26,0.31,steel_free_space_r0.08_eps4_sig0.001_x1.26_y0.31,steel_free_space,S_eps4_sig0.001,0.69,D3_deep,R3_medium_large,easy_strong_reflection,steel_free_space_r0.08_eps4_sig0.001_y0.31,steel_free_space|S_eps4_sig0.001|R3_medium_large|D3_deep,True,dataset_split/images/train/steel_free_space_r0.08_eps4_sig0.001_x1.26_y0.31.png,dataset_split/conditions/train/steel_free_space_r0.08_eps4_sig0.001_x1.26_y0.31.in,train
pvc,water,0.1,20,0.02,1.26,0.62,pvc_water_r0.1_eps20_sig0.02_x1.26_y0.62,pvc_water,S_eps20_sig0.02,0.38,D2_medium,R4_large,medium_water_filled_pvc,pvc_water_r0.1_eps20_sig0.02_y0.62,pvc_water|S_eps20_sig0.02|R4_large|D2_medium,True,dataset_split/images/train/pvc_water_r0.1_eps20_sig0.02_x1.26_y0.62.png,dataset_split/conditions/train/pvc_water_r0.1_eps20_sig0.02_x1.26_y0.62.in,train
steel,free_space,0.1,20,0.02,2.33,0.8,steel_free_space_r0.1_eps20_sig0.02_x2.33_y0.8,steel_free_space,S_eps20_sig0.02,0.19999999999999996,D1_shallow,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps20_sig0.02_y0.8,steel_free_space|S_eps20_sig0.02|R4_large|D1_shallow,True,dataset_split/images/train/steel_free_space_r0.1_eps20_sig0.02_x2.33_y0.8.png,dataset_split/conditions/train/steel_free_space_r0.1_eps20_sig0.02_x2.33_y0.8.in,train
steel,free_space,0.05,20,0.02,2.09,0.32,steel_free_space_r0.05_eps20_sig0.02_x2.09_y0.32,steel_free_space,S_eps20_sig0.02,0.6799999999999999,D3_deep,R2_medium_small,easy_strong_reflection,steel_free_space_r0.05_eps20_sig0.02_y0.32,steel_free_space|S_eps20_sig0.02|R2_medium_small|D3_deep,True,dataset_split/images/train/steel_free_space_r0.05_eps20_sig0.02_x2.09_y0.32.png,dataset_split/conditions/train/steel_free_space_r0.05_eps20_sig0.02_x2.09_y0.32.in,train
steel,free_space,0.05,20,0.02,2.77,0.49,steel_free_space_r0.05_eps20_sig0.02_x2.77_y0.49,steel_free_space,S_eps20_sig0.02,0.51,D2_medium,R2_medium_small,easy_strong_reflection,steel_free_space_r0.05_eps20_sig0.02_y0.49,steel_free_space|S_eps20_sig0.02|R2_medium_small|D2_medium,True,dataset_split/images/train/steel_free_space_r0.05_eps20_sig0.02_x2.77_y0.49.png,dataset_split/conditions/train/steel_free_space_r0.05_eps20_sig0.02_x2.77_y0.49.in,train
pvc,water,0.03,4,0.001,1.87,0.63,pvc_water_r0.03_eps4_sig0.001_x1.87_y0.63,pvc_water,S_eps4_sig0.001,0.37,D2_medium,R1_small,medium_water_filled_pvc,pvc_water_r0.03_eps4_sig0.001_y0.63,pvc_water|S_eps4_sig0.001|R1_small|D2_medium,True,dataset_split/images/train/pvc_water_r0.03_eps4_sig0.001_x1.87_y0.63.png,dataset_split/conditions/train/pvc_water_r0.03_eps4_sig0.001_x1.87_y0.63.in,train
pvc,water,0.05,10,0.005,2.52,0.41,pvc_water_r0.05_eps10_sig0.005_x2.52_y0.41,pvc_water,S_eps10_sig0.005,0.5900000000000001,D3_deep,R2_medium_small,medium_water_filled_pvc,pvc_water_r0.05_eps10_sig0.005_y0.41,pvc_water|S_eps10_sig0.005|R2_medium_small|D3_deep,True,dataset_split/images/train/pvc_water_r0.05_eps10_sig0.005_x2.52_y0.41.png,dataset_split/conditions/train/pvc_water_r0.05_eps10_sig0.005_x2.52_y0.41.in,train
pvc,water,0.1,20,0.02,1.64,0.77,pvc_water_r0.1_eps20_sig0.02_x1.64_y0.77,pvc_water,S_eps20_sig0.02,0.22999999999999998,D1_shallow,R4_large,medium_water_filled_pvc,pvc_water_r0.1_eps20_sig0.02_y0.77,pvc_water|S_eps20_sig0.02|R4_large|D1_shallow,True,dataset_split/images/train/pvc_water_r0.1_eps20_sig0.02_x1.64_y0.77.png,dataset_split/conditions/train/pvc_water_r0.1_eps20_sig0.02_x1.64_y0.77.in,train
steel,free_space,0.1,4,0.001,1.49,0.76,steel_free_space_r0.1_eps4_sig0.001_x1.49_y0.76,steel_free_space,S_eps4_sig0.001,0.24,D1_shallow,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps4_sig0.001_y0.76,steel_free_space|S_eps4_sig0.001|R4_large|D1_shallow,False,dataset_split/images/train/steel_free_space_r0.1_eps4_sig0.001_x1.49_y0.76.png,dataset_split/conditions/train/steel_free_space_r0.1_eps4_sig0.001_x1.49_y0.76.in,train
steel,free_space,0.03,10,0.005,2.07,0.5,steel_free_space_r0.03_eps10_sig0.005_x2.07_y0.5,steel_free_space,S_eps10_sig0.005,0.5,D2_medium,R1_small,easy_strong_reflection,steel_free_space_r0.03_eps10_sig0.005_y0.5,steel_free_space|S_eps10_sig0.005|R1_small|D2_medium,True,dataset_split/images/train/steel_free_space_r0.03_eps10_sig0.005_x2.07_y0.5.png,dataset_split/conditions/train/steel_free_space_r0.03_eps10_sig0.005_x2.07_y0.5.in,train
pvc,free_space,0.08,4,0.001,1.38,0.77,pvc_free_space_r0.08_eps4_sig0.001_x1.38_y0.77,pvc_free_space,S_eps4_sig0.001,0.22999999999999998,D1_shallow,R3_medium_large,hard_weak_pvc,pvc_free_space_r0.08_eps4_sig0.001_y0.77,pvc_free_space|S_eps4_sig0.001|R3_medium_large|D1_shallow,True,dataset_split/images/train/pvc_free_space_r0.08_eps4_sig0.001_x1.38_y0.77.png,dataset_split/conditions/train/pvc_free_space_r0.08_eps4_sig0.001_x1.38_y0.77.in,train
pvc,free_space,0.05,10,0.005,1.26,0.34,pvc_free_space_r0.05_eps10_sig0.005_x1.26_y0.34,pvc_free_space,S_eps10_sig0.005,0.6599999999999999,D3_deep,R2_medium_small,hard_weak_pvc,pvc_free_space_r0.05_eps10_sig0.005_y0.34,pvc_free_space|S_eps10_sig0.005|R2_medium_small|D3_deep,True,dataset_split/images/train/pvc_free_space_r0.05_eps10_sig0.005_x1.26_y0.34.png,dataset_split/conditions/train/pvc_free_space_r0.05_eps10_sig0.005_x1.26_y0.34.in,train
steel,free_space,0.03,10,0.005,1.88,0.53,steel_free_space_r0.03_eps10_sig0.005_x1.88_y0.53,steel_free_space,S_eps10_sig0.005,0.47,D2_medium,R1_small,easy_strong_reflection,steel_free_space_r0.03_eps10_sig0.005_y0.53,steel_free_space|S_eps10_sig0.005|R1_small|D2_medium,True,dataset_split/images/train/steel_free_space_r0.03_eps10_sig0.005_x1.88_y0.53.png,dataset_split/conditions/train/steel_free_space_r0.03_eps10_sig0.005_x1.88_y0.53.in,train
pvc,water,0.05,20,0.02,2.32,0.58,pvc_water_r0.05_eps20_sig0.02_x2.32_y0.58,pvc_water,S_eps20_sig0.02,0.42000000000000004,D2_medium,R2_medium_small,medium_water_filled_pvc,pvc_water_r0.05_eps20_sig0.02_y0.58,pvc_water|S_eps20_sig0.02|R2_medium_small|D2_medium,True,dataset_split/images/train/pvc_water_r0.05_eps20_sig0.02_x2.32_y0.58.png,dataset_split/conditions/train/pvc_water_r0.05_eps20_sig0.02_x2.32_y0.58.in,train
steel,free_space,0.1,10,0.005,1.54,0.73,steel_free_space_r0.1_eps10_sig0.005_x1.54_y0.73,steel_free_space,S_eps10_sig0.005,0.27,D1_shallow,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps10_sig0.005_y0.73,steel_free_space|S_eps10_sig0.005|R4_large|D1_shallow,False,dataset_split/images/train/steel_free_space_r0.1_eps10_sig0.005_x1.54_y0.73.png,dataset_split/conditions/train/steel_free_space_r0.1_eps10_sig0.005_x1.54_y0.73.in,train
